,created_at,author_id,id,text
19,2021-04-28T20:28:41.000Z,962574158,1387504061403082754,@BcoBicentenario Ojalá alguien me fuese advertido de nos víctima de ustedes. Paguen las divisas dicom del 2018. Necesito mi dinero para cubrir gastos médicos es lo único q tengo y no me lo dan. Pero si dan crédito y tarjetas @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela
20,2021-04-28T20:28:16.000Z,1387406542400626691,1387503955064803330,"@SudebanInforma Los usuarios que compramos divisas en Dicom, pedimos sean liberadas, es nuestro derecho

@BCV_ORG_VE
 @sudebaninforma
 @minecofinanzas
 @tsj_venezuela
 @tarekwiliamsaab
 @josejmoralesu78
 @SimonZerpaD
 
 #afectadosdicom"
21,2021-04-28T20:26:36.000Z,1387406542400626691,1387503536469123072,"@SudebanInforma Los usuarios que compramos divisas en Dicom, pedimos sean liberadas, es nuestro derecho

@BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @SimonZerpaD 

 #afectadosdicom"
22,2021-04-28T20:26:29.000Z,962574158,1387503507163553803,@MinEcoFinanzas @BCV_ORG_VE @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad invitamos a banco bicentenario a pagar nuestra divisas a estás tasas. Mi familiaa se ha enfermado y no he podido cubrir con los gastos. Hasta cuándo necesito mi dinero dicom
23,2021-04-28T20:11:23.000Z,140653553,1387499707799375877,"@BcoBicentenario Exigimos nuestras divisas retenidas injustamente del DICOM desde el año 2018. No más burlas al pueblo. Son nuestros únicos ahorros y los necesitamos urgente 
@sudebaninforma
 
@BCV_ORG_VE
 
@BcodeVenezuela
 
@TarekWiliamSaab
 
@TSJ_Venezuela"
24,2021-04-28T20:10:40.000Z,178420785,1387499527981121536,"@BcodeVenezuela Todos los bancos han dado soluciones sobre las Divisas obtenidas por medio de Dicom menos los bancos nacionales @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad SE ESTAN HACIENDO LOS LOCOS, QUEREMOS NUESTRAS DIVISAS"
25,2021-04-28T20:07:50.000Z,224208567,1387498813489917953,"@BcoBicentenario #AFECTADOSDICOM Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. @sudebaninforma @BCV_ORG_VE @BcodeVenezuela @TarekWiliamSaab @TSJ_Venezuela"
26,2021-04-28T20:07:10.000Z,186164677,1387498647395438592,"@BcoBicentenario Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. 
@BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad
 #AFECTADOSDICOM"
27,2021-04-28T20:06:47.000Z,178420785,1387498549756243969,"@descifradocom Esa puede ser una solución... Solo queremos soluciones para recuperar nuestro dinero, permitan que las divisas obtenidas en Dicom también se puedan vender @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad"
28,2021-04-28T20:06:29.000Z,140653553,1387498474665566208,"@BcodeVenezuela Exigimos nuestras divisas retenidas injustamente del DICOM desde el año 2018. No más burlas al pueblo. Son nuestros únicos ahorros y los necesitamos urgente 
@sudebaninforma
 
@BCV_ORG_VE
 
@BcodeVenezuela
 
@TarekWiliamSaab
 
@TSJ_Venezuela"
29,2021-04-28T20:05:41.000Z,178420785,1387498273552936961,@EneidaLayaPsuv @ViceVenezuela @PartidoPSUV @Mippcivzla @VTVcanal8 @MinComNacional @sundde_ve @almacaracas @CalidadEsVida @CassVzla @Conatel Necesito respuestas sobre nuetsras divisas adjudicadas en Dicom... También hicimos muchos reclamos por redes y nadie nos presta atención @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad #AFECTADOSDICOM  @BcodeVenezuela
30,2021-04-28T20:03:16.000Z,178420785,1387497664980336642,"@bcodeltesoro Necesitamos repsuestas para nuestras Divisas ... Desde el 2018 estan retenidas, es mi dinero y lo necesito @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad"
31,2021-04-28T20:01:41.000Z,178420785,1387497268366950401,@bcodeltesoro Asi de de rápido y sencillo deberian liberarnos nuestras divisaas adjudicadas por Dicom... @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad
32,2021-04-28T20:01:03.000Z,4115194707,1387497108685611019,@BcodeVenezuela Cuando darán respuesta a los usuarios que tienen divisas de Dicom desde el 2018??????? @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad
33,2021-04-28T20:00:42.000Z,224208567,1387497018097082369,"@EneidaLayaPsuv @ViceVenezuela @PartidoPSUV @Mippcivzla @VTVcanal8 @MinComNacional @sundde_ve @almacaracas @CalidadEsVida @CassVzla @Conatel #AFECTADOSDICOM Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. @sudebaninforma @BCV_ORG_VE @BcodeVenezuela @TarekWiliamSaab @TSJ_Venezuela"
34,2021-04-28T20:00:17.000Z,224208567,1387496915735089152,"@descifradocom #AFECTADOSDICOM Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. @sudebaninforma @BCV_ORG_VE @BcodeVenezuela @TarekWiliamSaab @TSJ_Venezuela"
35,2021-04-28T19:59:42.000Z,380684074,1387496766287843329,@BcodeVenezuela Devuelvan las divisas de Dicom @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad
36,2021-04-28T19:59:28.000Z,1352236141479686148,1387496707911557121,SOS @SudebanInforma Cual es la causa de que el Banco Mercantil calle Mariño San Félix Edo Bolivar no presta ningún servicio al público. Los pensionados no han podido hacer efectivo la pensión. SOS. @NicolasMaduro @dcabellor @ConElMazoDando. SOS https://t.co/hdkhO3hIxN
37,2021-04-28T19:59:20.000Z,4115194707,1387496677041397760,@descifradocom @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad y cuando podremos disponer de las divisas adquiridas por Dicom???????????
38,2021-04-28T19:58:37.000Z,605589061,1387496496283721729,"@SudebanInforma Por favor señores acudimos a ustedes ya que son la entidad que solucionaría los problemas que hay con el bicentenario, la cual no nos quieren entregar nuestros dólares y euros de Dicom #AFECTADOSDICOM"
39,2021-04-28T19:58:18.000Z,4115194707,1387496413744009218,@EneidaLayaPsuv @SimpleTVVE @ViceVenezuela @PartidoPSUV @Mippcivzla @VTVcanal8 @sundde_ve @CalidadEsVida @almacaracas @CassVzla @MinCoNacional @Conatel @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad y cuando darán solución a las divisas compradas por Dicom desde el 2018 por favor den solución?????????!!!!!!
40,2021-04-28T19:56:41.000Z,142019181,1387496007475281921,@MinEcoFinanzas @bcodeltesoro @EneidaLayaPsuv @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab CUANDO LO VA HACER EL @BcoBicentenario 3 AÑOS CON NUESTRO DINERO DE DICOM Y NOSOTROS LLENOS DE DEUDAS NO ES JUSTO
41,2021-04-28T19:54:02.000Z,363836491,1387495340010528775,"@BcodeVenezuela @BcodeVenezuela
@BCV_ORG_VE
 
@sudebaninforma
 
@minecofinanzas
 
@tsj_venezuela
 
@tarekwiliamsaab
 
@josejmoralesu78
 
@simonzerpad
Requerimos del apoyo y ayuda con liberacion de las Divisas retenidas por el Banco Venezuela, ya sea mesa de cambio o retiró en sedes"
42,2021-04-28T19:47:38.000Z,224208567,1387493729448169474,"@BcodeVenezuela #AFECTADOSDICOM Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. @sudebaninforma @BCV_ORG_VE @BcodeVenezuela @TarekWiliamSaab @TSJ_Venezuela"
