,author_id,created_at,id,text
0,601856885,2021-04-27T18:01:08.000Z,1387104539648667649,"@MercantilBanco buenas tardes, que debo hacer para poder aumentar el límite de mis TDC ?"
1,49336014,2021-04-27T18:00:24.000Z,1387104354910539778,@MercantilBanco requiero hacer un pago electrónico para una sucesión.  La plataforma del banco permite imprimir ese pago? Es seguro?
2,1387101068853714950,2021-04-27T17:52:39.000Z,1387102405041524742,@MercantilBanco estoy afiliado a t pago no puedo hacer pago movil en la pagina de inter y en mi telefono no veo los contactos que hago
3,32323041,2021-04-27T17:34:08.000Z,1387097747665391617,"@MercantilBanco buenas tardes. Estoy tratando de recargar saldo a un celular Movistar desde mi cuenta mercantil, pero me dice que no pueden procesar mi operación, que lo intente más tarde. Tienen algún problema con Movistar? Que puedo hacer? Me urge recargar el saldo."
4,76481335,2021-04-27T17:10:12.000Z,1387091723269115904,@libilis1 @MercantilBanco Ni a mi
5,150414418,2021-04-27T16:58:04.000Z,1387088671808045057,"@MercantilBanco Saludos, a mí me arroja Error 5205003, intento ingresar al pago móvil de una cuenta jurídica por primera vez, ojalá puedan ofrecer respuesta pronto. Gracias"
6,150414418,2021-04-27T16:26:25.000Z,1387080705008672777,"@MercantilBanco Saludos, a mí me arroja Error 5205003, intento ingresar al pago móvil de una cuenta jurídica por primera vez, ojalá puedan ofrecer respuesta. Gracias 27/4/2021"
7,150414418,2021-04-27T16:25:36.000Z,1387080501035470854,"@MercantilBanco Saludos, a mí me arroja Error 5205003, intento ingresar al pago móvil de una cuenta jurídica por primera vez, ojalá puedan ofrecer respuesta."
8,150414418,2021-04-27T16:23:47.000Z,1387080042023428096,"@MercantilBanco Saludos, a mí me arroja Error 5205003, intento ingresar al pago móvil de una cuenta jurídica por primera vez, por favor me pueden ayudar?"
9,461336971,2021-04-27T16:10:47.000Z,1387076770449461252,"@MercantilBanco Buenos días, señores @mercantil,por favor actualizen el límite mensual a recargar los tlf, no puede ser q intentes recargar y te salga q ya tu limite mensual está lleno, por favor tan caros q están los megas 😡😡😡😡😡😡😡😡😡😡😡😡"
10,25820025,2021-04-27T15:52:00.000Z,1387072043074588675,@MercantilBanco Buenos días ¿cuando abriran la agencia ubicada en la UCAB?
11,63485645,2021-04-27T15:45:05.000Z,1387070302665027586,"@MercantilBanco Mercantil no envía mensajitos de texto cuando se hace efectivo un pago móvil? ? Es raro,  pero nunca me ha llegado uno,  como por ejemplo avisa Bco Vzla."
12,158874117,2021-04-27T15:09:23.000Z,1387061320248401925,@MercantilBanco buenos días para atención por liberaciones de hipoteca correos o números telefónicos
13,1369662806,2021-04-27T14:24:42.000Z,1387050074329391106,"@MercantilBanco Buenos dias porque no puedo hacer pagos móviles por la aplicacion, a veces no me sale la cuenta, y otras llega hasta la clave telefonica y no sale."
14,106449299,2021-04-27T13:15:10.000Z,1387032577551261700,"@fjbastidas @MercantilBanco @MovistarVe Me ocurrió. Pagué por la Página, Mi Movistar, con tarjeta debito mercantil. Me hicieron el débito y no lo acreditaron a mi cuenta tv. Hice el reclamo y lo cerraron si resolver. 12 millones perdidos y ahora no puedo volver a pagar porque quitaron la opción depagar con  tanta dbto"
15,57176102,2021-04-27T12:54:11.000Z,1387027295936909314,@MercantilBanco realicé recarga de @AyudaMovistarVe @MovistarVe desde el domingo y a 3 días ni tengo el saldo en mi línea ni tengo el dinero en mi cuenta. Para cuando van a solucionar ???????????????
16,103671092,2021-04-27T12:48:33.000Z,1387025876693491717,@MercantilBanco buen día... necesito saber el número de cuenta corriente completo y no tengo la chequera a mano
17,357015283,2021-04-27T11:24:47.000Z,1387004796994048001,"@MercantilBanco Buenos días, por qué cuando me hacen un TPago (Pago móvil) no me llega mensaje de texto o correo electrónico indicándome la operación?"
18,3810611476,2021-04-27T09:48:11.000Z,1386980485348352001,@MercantilBanco Ok y que hago para poder octener mi tarjeta de débito
19,170325456,2021-04-27T07:26:38.000Z,1386944863573250049,"@MercantilBanco Me parece excelente el haber incluido en Tpago, la modalidad de pago por mensaje de texto, y esta fabuloso el agregar el destinatario a través de un QR nos evita cometer el error al ser escrito por nosotros mismo. Felicitaciones"
20,1157832394600341504,2021-04-27T06:21:18.000Z,1386928424640466948,@MercantilBanco Mi tarjeta de debito llave mercantil no sirve; ¿Puedo ir a una oficina esta semana para que me otorguen una nueva?
21,1157832394600341504,2021-04-27T06:18:57.000Z,1386927831733653505,@MercantilBanco Necesito una llave mercantil nueva.¿hay disponibles?
22,158063180,2021-04-27T00:46:56.000Z,1386844275040821255,@MercantilBanco buenas noches!!! He querido comunicarme con uds desde el jueves. A mí hermana se le bloqueo la tarjeta en un punto de venta y no hemos podido resolver. A qué número me debo comunicar con un operador??? gracias!!!
23,769617126,2021-04-26T23:36:22.000Z,1386826518811271169,"@MercantilBanco Lo que necesitamos todos los que tenemos cuenta en ese banco es que activen los cajeros en maracay, tiene tiempo que ningún cajero funciona."
24,1589900095,2021-04-26T22:03:35.000Z,1386803169594851330,"@SmayAnnesmay @MercantilBanco La locura con esta pandemia t dicen q debes ir a una oficina con foto copia de cédula,carta d trabajo y otras cosas locas q no recuerdo simplemente  para cambiar un número telefónico poco  práctico este banco."
25,170357136,2021-04-26T21:16:19.000Z,1386791272568983552,@MercantilBanco Buenas tardes cuanto es el monto máximo para retirar por taquillas y cajeros automáticos?
26,128037530,2021-04-26T20:53:37.000Z,1386785561403351043,"@MercantilBanco hola, cómo desbloqueo el acceso a la banca móvil.."
