,text,created_at,author_id,id
33,@Melyciosa @Banesco 🧞,2021-04-28T12:20:56.000Z,1344405939538055169,1387381316044402689
34,"Este frío no me deja levantarme de la cama y yo necesito ir a @Banesco

*Se arropa*",2021-04-28T12:02:25.000Z,1348682318005882886,1387376656252391425
35,"@Banesco buenos dias equipo de banesco, les deje un mensaje privado.",2021-04-28T11:52:01.000Z,866869878,1387374036896915456
36,@zalerm81 @Banesco Buenos días necesito saber lo mismo,2021-04-28T09:36:46.000Z,1196906239659315200,1387340002066055169
37,"Me rehusó siempre a que los putos bancos de mierda nos limiten hacer transacciones a tal hora, puto @Banesco de mrd los comerciantes perdemos plata por ustedes.",2021-04-28T03:17:32.000Z,447200509,1387244563635519502
38,Mañana me espera un día en @Banesco y desde ya me da amsiedat. Odio ir a bancos y sobre todo a hacer reclamos 😥,2021-04-28T03:13:01.000Z,1348682318005882886,1387243427427926020
39,@Banesco  ha sido a mi favor y aún así no obtengo el reintegro y estos ladrones siguen tomando mis fondos,2021-04-28T02:50:52.000Z,195582324,1387237853210492929
40,Q fastidio tener q esperar a ver si @banesco envío el pago CANTV o si perdí ese dinero q no es poca cosa tampoco. Pagué ayer y aún sale la deuda 🤬,2021-04-28T02:37:48.000Z,1105692242025635840,1387234563630436357
41,@SuperCableVen continúa tomando mis fondos en mi cta @Banesco  afectando mi solvencia personal,2021-04-28T02:36:24.000Z,195582324,1387234213800386563
42,@soyunasur @YouTube @ReporteYa @yanemiky @IRENE_DIAZG @cafetacvba @UNoticias @PartidoPSUV @upataderocha @Banesco @inti_illimani @IzquierdaUnida @nvaizquierda @aeroporlamar @inea_venezuela @OficialGaceta @ErikaOSanoja @RgMusic_Oficial @o_1_n_3 @ErikaOSanoja @Oriana_Candanga https://t.co/CC5o2aXE9y,2021-04-28T01:52:20.000Z,149708898,1387223121275588608
43,"@Banesco Muchas gracias,  ya solucione",2021-04-28T01:44:24.000Z,2607771121,1387221127739682818
44,@Banesco buenas el día de ayer 26 de abril cancele por medio de banesco online las facturas de teléfonos y aún sigue apareciendo el monto a pagar en cantv,2021-04-27T23:36:36.000Z,2680421090,1387188964503740418
45,@Banesco Graciassssss espero que no vuelva a suceder por el bien de todos y respeto a las normas sanitarias por la pandemia,2021-04-27T23:06:11.000Z,2431084015,1387181308242276363
46,@Greily_c @Banesco @inesquinterom Pura estafa es esto no le pasen plata,2021-04-27T22:47:39.000Z,1263617428061372426,1387176645983973379
47,"@Banesco Para solicitar la tarjeta de débito, se debe hacer por una agencia? O por la página",2021-04-27T22:39:09.000Z,141752346,1387174508147130372
48,Los odio con todo mi ser @Banesco,2021-04-27T22:08:15.000Z,188023788,1387166731366539273
49,@gil_hiaf @Banesco Pudiste solucionarlo,2021-04-27T21:16:11.000Z,2355310476,1387153627807105028
50,@Banesco @inesquinterom NECESITO RESPUESTA https://t.co/Mn4uW9GnNX,2021-04-27T21:04:03.000Z,2355310476,1387150572441190401
51,@ketherj @Banesco Lo mismo me está pasando,2021-04-27T20:58:50.000Z,2355310476,1387149259548643330
52,@Banesco Que barti nada desde ayer no puedo transferir dice que ya alcance el máximo límite mensual de pago móvil👺👺👺👺👺,2021-04-27T20:54:19.000Z,2355310476,1387148123802423301
53,"@Banesco La actualización de datos para solicitar la cuenta verde, el estatus de solicitud en proceso, dura toda la vida?",2021-04-27T20:44:51.000Z,245000301,1387145742117179404
54,"@Banesco @agreda104 Hola están aperturando cuentas en valencia Venezuela, cuenta en bsf",2021-04-27T20:43:57.000Z,287780470,1387145514819407879
55,"@Banesco Que carrizo de Barti no le puedo transferir a un @Digitel_Info412.desde @Banesco y la persona tiene una emergencia y no tiene saldo, pues Banesco no le da la gana de hacerlo efectivo   CONTESTEN",2021-04-27T20:15:57.000Z,2607771121,1387138468325777413
56,@BajoTachon @Banesco @isabeldiazvzla @ricarmeji Y a nosotros nos encantó poder dar esta buena noticia y la habilidad para hacer una historia con poca tinta y sin ninguna mancha. ¡Felicitaciones por ese logro! @BajoTachon,2021-04-27T19:55:39.000Z,1308466668629356545,1387133360619851781
57,@deconveniencia1 @Banesco @isabeldiazvzla @ricarmeji Me encantó este artículo... muy completo! Gracias!,2021-04-27T19:49:36.000Z,2282869417,1387131839454793735
58,@Banesco Señores de Banesco tienen algo que decir acerca de la persona cajera que no utiliza el tapabocas? 😈,2021-04-27T19:40:53.000Z,2431084015,1387129646416859136
59,"@Banesco Buenas tardes por segunda vez mî tía y yo vimos en Banesco Av. Victoria  a la única cajera que estaba allí como 12 y 30, estaba sin tapabocas paseándose x todo el banco y no es la primera vez que la vemos que Irresponsables son",2021-04-27T19:38:31.000Z,2431084015,1387129048510390286
60,@Banesco  Buenas tardes les dejé un mensaje directo. Quedo atento a su respuesta.,2021-04-27T19:19:18.000Z,138181317,1387124213358764035
61,"@Romezulia @Gabrielasjr @drodriven2 @Mincyt_VE @CNTI_VE @ViceVenezuela @SUSCERTE @RNVinformativa @Conatel @ConatiOficial @lubrio @Banesco @BcoBicentenario Gracias por tu contacto, te invitamos a conocer los distintos  bancos disponibles para recargas Movilnet y su proceso para recargar. Ingresa a https://t.co/yK1U1iYzMg  en la sección Recarga y Pago. En @Info_Movilnet trabajamos para brindarte un mejor servicio. AR",2021-04-27T18:35:45.000Z,1306264038507192321,1387113251943636996
62,@Banesco Ponga el ojo en san fdo de apure ni sirve el cajero,2021-04-27T18:35:19.000Z,108371136,1387113143688630273
63,@Banesco banesco estan aperturando cuentas son de maracaibo,2021-04-27T18:23:10.000Z,1970265828,1387110085697150979
64,@Banesco Porqué no está aceptando Banesco el  pago a Digitel?????,2021-04-27T18:16:48.000Z,2607771121,1387108483221364743
65,"@Banesco Buenas tardes, tengo problemas con mi clave telefónica y no puedo desbloquearla, ni por vía online ni por vía telefónica",2021-04-27T17:29:16.000Z,309472883,1387096522307907589
66,"Luego de evaluar más de 1500 textos, @Banesco  anunció el veredicto del 8vo concurso de microcuentos  #280 en Twitter. @BajoTachon @isabeldiazvzla y @ricarmeji fueron los tres primeros lugares. Lee más en https://t.co/BMSwNgeQja https://t.co/449El9HGIl",2021-04-27T17:14:59.000Z,1308466668629356545,1387092927931953156
67,"@salaprensaCantv realice el pago por @Banesco ayer y aún sale la deuda, ayuda!",2021-04-27T17:10:36.000Z,1105692242025635840,1387091824360177665
68,Hola @Banesco se dañó el chip de mi tarjeta de débito. No pasa en ningún comercio. Cómo hago para obtener una nueva tarjeta? Gracias!,2021-04-27T17:09:39.000Z,64770610,1387091586954170372
69,"@Banesco No es como mucho. Dan 1.500.000 la agencia de san fernando de apure  esa cantidad a la semana , 300.000 diario",2021-04-27T17:09:19.000Z,108371136,1387091500618637318
70,@Banesco Demasiados dias esperando respuesta el bs se devalua entiendan,2021-04-27T17:08:30.000Z,705392990,1387091293977915394
71,@Banesco buenas tardes quería saber cuanto tiempo tardan en abonar el pago de CANTV? Cancele ayer y aún me sale el saldo deudor,2021-04-27T16:52:39.000Z,1105692242025635840,1387087306155245571
72,@Banesco El monto se encuentra fuera del rango permitido para esta operación. Por favor verifique e intente de nuevo. Presento está falla,2021-04-27T16:31:44.000Z,2355310476,1387082043398496257
73,@Banesco Buenos días.. Tengo meses tratando de actualizar mis datos y él sistema no me los toma..! Como puedo hacer favor..!,2021-04-27T15:14:02.000Z,2187626018,1387062487816810501
74,"@banesco 1 año y 1 mes. Hoy 27 de abril, 4 colas desde enero de 2021, y @Banesco aún me entrega la liberación de mi crédito hipotecario de recursos propios pagando en 2011.",2021-04-27T15:07:07.000Z,48145755,1387060749751758850
75,"Seleccionados los 3 ganadores del Concurso de Microcuentos Banesco. El concurso que promueve la creatividad anunció a los tres vencedores: Fanny Márquez, primer lugar, Isabel Díaz, segundo lugar, y Ricardo Jesús Mejías tercer puesto.
https://t.co/82fJirKOOv
@Banesco https://t.co/XHeqq5Al2b",2021-04-27T14:44:43.000Z,140950170,1387055109717200899
76,"Si naciste en Venezuela, tienes entre 18 y 30 años y te interesa la creación poética, el Concurso Nacional de Poesía Joven Rafael Cadenas es para ti. 
Lo organizamos junto a  @banesco, @Poeteca1
y @TeamPoetero
Por favor, lee bien las bases.
¡Te esperamos! https://t.co/iNDtVjDN1E",2021-04-27T14:02:27.000Z,799371655,1387044476485390343
77,@Banesco Señores @Banesco ya le mande lo q solicitaron siguen pasando los dias y no me devuelven los bs y cada dia pierdo mas necesito solucion demasiados dias ya es una falta de respeto,2021-04-27T13:48:04.000Z,705392990,1387040856478158848
78,"@Banesco Buenos días, extravié mi tarjeta de débito, ya la bloqueé telefónicamente, ahora que debo llevar al Banesco para solicitar una reposición? Es urgente.",2021-04-27T13:38:20.000Z,52883754,1387038405528219662
79,"@Banesco Buen día, quisiera saber por favor como hago para solicitar envió temporal de clave especial al correo por extravío de dispositivo y cambio de nro telefonico",2021-04-27T12:57:12.000Z,1020962694,1387028054745169921
80,@Banesco Tarda mucho más de lo legal en hacer efectivo las transferencias entre bancos!,2021-04-27T12:53:14.000Z,618627740,1387027057855586304
81,"@hilarialui @Banesco Hay amiga, de esa cabulla un rollo tengo. Se venció mi tarjeta y no inmaginas los requisitos para renovarla, pero además, vivo en Nva esparta y me exigen que me presente en la agencia del Hatillo porque la de la Boyera,  adonde abrí mi cuenta en un principio, ya no existe",2021-04-27T12:02:23.000Z,319400378,1387014259620687873
82,"Buenos días 🌞 con aroma a café de posibilidad siempre ☕#CercaMuyCerca 
6:40 am Noticias y @uncafeconshia @Kysfm1015 
Presentación @hispanadeseguro @cddlasmercedes @Banesco @Digitel_Info412 @respiralibre https://t.co/MySNlcYlNQ",2021-04-27T09:36:29.000Z,82509977,1386977542649876480
