,id,author_id,text,created_at
0,1387517192246370314,57492963,"@BBVAProvincial Hola hoy lleve a mi padre a aperturar cuenta para ayuda española, entregaron tdd. Intente el registro Provinet, no pude, al poner C.I. da mensaje de datos incompletos, celular y correo, la chica q nos atendió dijo que esta todo registrado, se reciben sms en el numero registrado.",2021-04-28T21:20:52.000Z
1,1387507866253336579,949289289380237313,"@BBVAProvincial A mi esposo le pusieron que no puede hacer transferencias por que esta fuera del pais, cuando eso es falso, estamos en Venezuela. Que recaudos necesito para desbloquear su insistencia en bloquearnos la cuenta bancaria.",2021-04-28T20:43:48.000Z
2,1387498798365220867,112563539,@BBVAProvincial Acabo de hacer un pago móvil y no ha llegado,2021-04-28T20:07:46.000Z
3,1387497827291566080,2262348084,@BBVAProvincial Buenas tardes yo puedo cambiar el número que tengo afiliado por la página !!!!,2021-04-28T20:03:55.000Z
4,1387495264831868934,459179956,@BBVAProvincial Buenas tardes no puedo desbloquear mi tarjeta de débito. Llamo y no me llega el código a tiempo fui a una agencia y no estaban atendiendo al público que me recomienda hacer ???,2021-04-28T19:53:44.000Z
5,1387491695919607808,2528619240,"@BBVAProvincial Buenas tardes, si deseo cambiar el número de teléfono que tenía registrado en el banco, a qué agencia me dirijo?",2021-04-28T19:39:33.000Z
6,1387475647161843713,436308910,@BBVAProvincial Buenas tardes. Hace dos días hice un pago móvil y nunca cayó a la cuenta de la persona. Envíe un correo al banco con el reclamo y nada que me contestan.,2021-04-28T18:35:46.000Z
7,1387472960877965320,116074046,"@BBVAProvincial Buenas tardes necesito anular una transferencia, en mi cuenta está como diferida. Cómo realizó el proceso? Auxilioooooooo!",2021-04-28T18:25:06.000Z
8,1387456061192409091,1354182714673549312,"@BBVAProvincial Buenas tardes estimados.
Mantengo una cuenta corriente con ustedes y quisiera saber
Cual es el procedimiento para hacer el cambio de correo electrónico desde el extranjero y poder desbloquear la clave para el uso de Provinet en Linea.
Muchas Gracias de antemano.",2021-04-28T17:17:57.000Z
9,1387455744816123904,625315371,"@BBVAProvincial Necesito solución a un inconveniente que presento con mi cuenta, fui el día de ayer 27/04/2021 a la Oficina Principal a realizar una actualización de datos y modificar mi numero telf y la información aun CONTINUA ERRADA... Y no puedo volver a ir a la agencia de nuevo",2021-04-28T17:16:41.000Z
10,1387455419287748608,625315371,"@BBVAProvincial Necesito solución a un inconveniente que presento con mi cuenta, fui el día de ayer 27/04/2021 a la Oficina Principal a realizar una actualización de datos y modificar mi numero telf y la información aun CONTINUA ERRADA... Y no puedo volver a ir a la agencia de nuevo",2021-04-28T17:15:24.000Z
11,1387455268645179404,625315371,"@BBVAProvincial Necesito solución a un inconveniente que presento con mi cuenta, fui el día de ayer 27/04/2021 a la Oficina Principal a realizar una actualización de datos y modificar mi numero telf y la información aun CONTINUA ERRADA... Y no puedo volver a ir a la agencia de nuevo",2021-04-28T17:14:48.000Z
12,1387446112831877127,236851891,"@BBVAProvincial Necesito modificar la clave de la Tarjeta de Débito y el sistema me dice:                    Opción no Disponible.
Lo sentimos, ha ocurrido un error al procesar su operación, por favor intente nuevamente.",2021-04-28T16:38:25.000Z
13,1387411495605133313,346336654,"@BBVAProvincial @VATCWeb @haypunto Buen día, perdí mi numero telefónico asociado a dinero rápido. Se puede gestionar el cambio vía online?",2021-04-28T14:20:52.000Z
14,1387399659338018816,738697942266187776,"@BBVAProvincial Buen día, mi tarjeta de débito vence este mes de abril, ¿se cambia o puedo seguir usandola?",2021-04-28T13:33:50.000Z
15,1387398697135185930,126086956,"Adquiere tu punto de venta y retíralo el mismo día, no dejes pasar esta oportunidad y disfruta de los mejores equipos inalámbricos que nuestro aliado VAT&amp;C tiene disponible para ti.
 
¡Tenemos cantidades limitadas! ¿Qué esperas?
 
@BBVAProvincial @vatcweb @haypunto #TuPunto https://t.co/0PHB8tKZwe",2021-04-28T13:30:00.000Z
16,1387398694090194949,563850880,@BBVAProvincial buen día. Por mucho tiempo he pagado mis servicios de Movistar y CANTV por su (BBVA) sitio web. Hoy solo me aparece Digitel... ¿Eliminaron ese servicio?,2021-04-28T13:29:59.000Z
17,1387391996722130945,117590572,@BBVAProvincial Hola ¿Mi Tarjeta TDD está deteriorada y ya no la leen los puntos de venta? ¿Como la reemplazo?,2021-04-28T13:03:23.000Z
18,1387353781713653761,321466934,"@BBVAProvincial El sector privado es parte de la solución de los enormes problemas, dijo Lorenzo Mendoza
 https://t.co/h8lldtsZx9",2021-04-28T10:31:32.000Z
19,1387191710896230401,739507488865849345,"@BBVAProvincial Buenas noches. Ha sido imposible autorizar el pago de nomina, arroja el mensaje: ""Ocurrio un error al tratar de autorizar su lote"".  Lo lamentable es que no hay soporte  ni para personas ni para empresas. #BBVAProvincial",2021-04-27T23:47:31.000Z
20,1387187834424074247,1333395308596895744,@VanessaCid @ConsEspCaracas @bbva @BBVAProvincial @canariosmundo A la orden 👍,2021-04-27T23:32:07.000Z
21,1387179180597596163,108177712,@MRockolita @ConsEspCaracas @bbva @BBVAProvincial @canariosmundo Graciiiiias 🙏🏻,2021-04-27T22:57:43.000Z
22,1387173072076165121,2422334459,@BBVAProvincial Buenas tardes. Donde puedo consultar en internet el procedimiento paso a paso para registrar una cuenta en el Banco? Gracias,2021-04-27T22:33:27.000Z
23,1387166699565289474,115375376,"@BBVAProvincial Hola necesito información sobre uno de mis productos, una extensión de TDC quiero saber si debo algo, me ayudan con esa información?",2021-04-27T22:08:08.000Z
24,1387147696868401157,145008516,@BBVAProvincial Cómo realizó el cambio de número telefónico,2021-04-27T20:52:37.000Z
