,text,created_at,author_id,id
0,@MercantilBanco Buenas tardes intento abrir mi mercantil en línea y dice datos y clave incorrecta...está fallando la plataforma?,2021-04-28T22:47:36.000Z,202148873,1387539021983850497
1,@MercantilBanco Buenas tardes! En esta oportunidad les escribo para saber si hay problemas con la plataforma para realizar transferencias a otras cuentas mercantil ya que al momento de realizar una transferencia me arroja el mensaje de que intente más tardes!,2021-04-28T22:46:07.000Z,1274553941917863936,1387538646832648197
2,@MercantilBanco Deseo es reponer  mi tarjeta de débito,2021-04-28T22:32:15.000Z,343710274,1387535156626526209
3,"@jesusmdbtw2012 @MercantilBanco Si lo está, estoy en la misma situación",2021-04-28T22:06:42.000Z,1323258072534552577,1387528726712311812
4,"El @MercantilBanco me quito 180.000 Bs por 4 mensajes de texto al 24024 solicitando clave temporal para un pago móvil, la cual nunca llego, son ladrones o no? https://t.co/bVVmvxfhjH",2021-04-28T21:48:28.000Z,1099360339207049218,1387524137904754689
5,"@MercantilBanco buenas tardes, una pregunta, al bloquear mi tarjeta maestro por deterioro, pierdo el acceso a mi mercantil en línea???",2021-04-28T21:34:46.000Z,69032040,1387520692304887818
6,"@MercantilBanco Buenas disculpen la plataforma no funciona, cuánto demora el problema?",2021-04-28T21:32:07.000Z,132423277,1387520022977855493
7,@MercantilBanco Buenas tardes está caída la plataforma? No me deja hacer transferencias a cuentas nuevas.,2021-04-28T21:25:10.000Z,132423277,1387518274871742466
8,"@MercantilBanco Buenas Tardes Sres banco mercantil , están presentando fallas para realizar transferencia a través de la web y la app ?",2021-04-28T21:16:09.000Z,547618368,1387516007670030336
9,"@MercantilBanco buenas tardes, me pueden informar si hay problemas con du web? Estoy tratando de realizar una transferencia y no he podido. Gracias",2021-04-28T21:12:26.000Z,2536094050,1387515071073501184
10,@MercantilBanco que pasa con la plataforma que no llega la clave de operaciones especiales?,2021-04-28T21:11:58.000Z,96666069,1387514952517365762
11,"@MercantilBanco Qué está pasando con uds q a veces la app no funciona , tpago menod, y encima uno va a pagar y aun teniendo dinero la lectura d negada por falta de fondos? Uno pasa vergüenza, no puede comprar lo que necesita y nadie da respuesta. Estan iguales a banca publica.",2021-04-28T21:04:14.000Z,146936194,1387513006595219458
12,@MercantilBanco están caídos ?,2021-04-28T20:19:45.000Z,981184124999340032,1387501813381881861
13,@MercantilBanco Hoy fui a la oficina de Maiquetia y estaba cerrada! Necesito cambiar la clave telefónica,2021-04-28T20:14:55.000Z,153517300,1387500598736588804
14,@MercantilBanco Buenas tardes. La aplicación no está funcionando,2021-04-28T20:08:23.000Z,757734991,1387498951042076672
15,"@MercantilBanco Intento hacerlo pero la plataforma está caída, no da acceso. ¿En cuánto tiempo esperan restituirla? Algunos necesitamos hacer transacciones urgentemente...",2021-04-28T20:05:31.000Z,179789925,1387498231060381700
16,"Sres @MercantilBanco  Causas de cerrar la ÚNICA oficina de Uds en la Curva, zona oeste de Maracaibo, ZULIA? La de Galerías tb fue cerrada. Sin transporte. A Dónde vamos a ir los q vivimos al oeste de Maracaibo? @SudebanInforma",2021-04-28T19:16:34.000Z,1383890866222223363,1387485911915577345
17,@MercantilBanco buenas tardes intento registrarme a mercantil en línea y me dice datos incorrectos,2021-04-28T18:27:28.000Z,59779955,1387473557182193664
18,@MercantilBanco Cuales en Valencia funcionan porqué no todas??,2021-04-28T18:05:15.000Z,978374778154291205,1387467966162276353
19,"@MercantilBanco Hola, está caído el sistema?",2021-04-28T17:35:24.000Z,390952391,1387460452213575681
20,@MercantilBanco que significa el dibujo??? https://t.co/2PeXOy0Vi5,2021-04-28T17:28:03.000Z,1245649542252392451,1387458604756869122
21,@MercantilBanco @nelsonbocaranda @Dereckb @GenPenaloza @CaraotaDigital https://t.co/6q2MKsmBSX,2021-04-28T17:23:25.000Z,65729788,1387457437364629522
22,@MercantilBanco la página no abre.,2021-04-28T17:07:17.000Z,3894501135,1387453378876293126
23,Qué le pasa a @MercantilBanco ? No abre y no hace nada.,2021-04-28T17:00:49.000Z,84184883,1387451750819328000
24,@MercantilBanco Buenos días la oficina de Alta Vista Puerto Ordaz estará abierta?,2021-04-28T16:29:14.000Z,171648554,1387443800814063618
25,"@MercantilBanco @lenimauri Yo ya mandé por correo los requisitos para que los revisaran y un agente me llamo y me a iba a avisar próximamente si los requisitos estaban bien pero eso fue la semana antepasada, cuánto tarda ese proceso?",2021-04-28T16:24:33.000Z,3063732579,1387442624613830658
26,@MercantilBanco Buenos dias para cambiar mi celular ?,2021-04-28T16:23:33.000Z,107881250,1387442370778632193
27,@MercantilBanco @jlgbrazon 10.000 bss,2021-04-28T16:22:10.000Z,107881250,1387442023150542857
28,@salaprensaCantv @MercantilBanco @BcodeVenezuela como refrescar eldeco y como pago elbanco de venezuela no reconoce el numero  de identificador de pago,2021-04-28T16:15:13.000Z,279044338,1387440275396694019
29,"@MercantilBanco Rotativo? La oficina más cercana me queda 2 horas (Calabozo) y yo lo único que quiero es mi e-seguridad pero me piden actualizar datos de una cuenta que tengo hace +15 años y debo hacerlo, absurdamente, entregando un montón de papeles en físico. Sres, era digital + pandemia",2021-04-28T15:58:40.000Z,510671527,1387436108292763657
